date,amount,category,note
07/20/2013,-£20.00,"Transport & travel","Oyster auto topup"
07/20/2013,-£85.19,"Self-indulgence","HEKK pipe!"
07/20/2013,-£13.13,"Self-indulgence","Staedler fineliners, one pack of assorted widths, two packs of assorted colors"
07/20/2013,-£2.00,"Transport & travel","Barclays bike hire"
07/22/2013,-£12.94,"Restaurants & coffee shops","Fornata spaghetti al pomodoro & coke "
07/22/2013,-£2.75,"Restaurants & coffee shops","Starbucks frapuccino after dying on the bus. Also pay for free wifi. Contactless payments take longer to register on NatWest."
07/23/2013,£9.30,"Misc income","Virgin Media remittance"
07/23/2013,-£3.15,"Restaurants & coffee shops","Starbucks iced latte & shortbread"
07/24/2013,-£2.15,"Restaurants & coffee shops","Starbucks iced latte"
07/24/2013,-£1.55,"Hygene, health & beauty","Daily liners"
07/25/2013,-£20.00,"Transport & travel","Oyster top up (23/07)"
07/26/2013,-£8.00,"Restaurants & coffee shops","Campus BBQ Fridays -- hot dog and san pellegrino. Later coffee"
06/11/2013,£789.62,"Misc income","Julie Twist deposit returned & transfered from Barclays account, then closed"
06/11/2013,-£6.85,"Restaurants & coffee shops","Starbucks coffee, biscuit & panini"
06/11/2013,-£500.00,"Save some","Save a sum from the deposit, but leave enough to manage until the end of the month"
06/12/2013,-£20.00,"Transport & travel","Oyster top up (10th of July)"
06/12/2013,-£12.00,"Clothing","Sukad graduationiks"
06/12/2013,-£30.96,"Hygene, health & beauty","Juuksevaht, juukselakk, küünelakk, huulepalsam John Lewisest"
04/12/2013,-£2.25,"Spontaneous food & drinks","Maasikajäätis John Lewise kõrvalt"
04/13/2013,-£1.00,"Spontaneous food & drinks","Jäätis Purfleetis"
04/15/2013,-£1.80,"Fix error","NatWest consistently insists that I have 1.80 less than what I think I have. O wello."
04/16/2013,-£14.50,"Restaurants & coffee shops","Cafe Royal hotell võileib ja Coca "
04/16/2013,-£0.50,"Other expense","Tip hotellis kohvrite eest"
04/17/2013,-£1.65,"Hygene, health & beauty","Tampoonid"
07/17/2012,-£3.80,"Spontaneous food & drinks","Tee, jaffa cakes on the train to Graduation"
07/18/2012,-£0.10,"Other expense","Katsil jäi borough marketil sentidest puudu"
07/19/2012,-£14.68,"For the flat","Larger towel stand so that towels don't stink"
01/01/1990,-£100,"Spend","Test this shit out"
02/01/1990,-£100,"Spend","Test this shit out"
08/08/2013,-£25,"Transport","Oyster topup"
